Experiment,l_c,r_c,l_n,r_n,V,w
127,0.038,0.022000000000000002,0.05900000000000002,0.001,5.7965526051385285e-05,287.39713003275136
128,0.039,0.019,0.08,0.001,4.4481810382177877e-05,282.14433483372784
129,0.041,0.021,0.07300000000000002,0.001,5.7032473033269116e-05,260.0384078124124
130,0.042,0.025000000000000005,0.07500000000000002,0.001,8.270242660575133e-05,211.9795852674825
131,0.042,0.021,0.08,0.003,6.045052584037481e-05,798.3420549702745
132,0.038,0.016999999999999998,0.07900000000000003,0.001,3.474915634135669e-05,322.65616679672434
133,0.041,0.02,0.08,0.001,5.177344693115979e-05,260.88211139642766
134,0.042,0.021,0.07800000000000003,0.001,5.843362335677017e-05,248.30155658981585
135,0.037,0.021,0.05800000000000002,0.001,5.144357970253286e-05,308.3478739679276
136,0.038,0.018,0.08,0.001,3.893061616328471e-05,302.2778465569221
137,0.04,0.018,0.07500000000000002,0.001,4.095066023954295e-05,304.2875546201411
138,0.04,0.024000000000000004,0.08,0.001,7.263362215099604e-05,219.27787983310557
139,0.04,0.019,0.08,0.002,4.636990756698535e-05,593.8619772241354
140,0.042,0.02,0.07200000000000002,0.001,5.300495125136699e-05,271.9152997232313
141,0.043000000000000003,0.019,0.08,0.001,4.901827017396154e-05,268.30309911524165
142,0.041,0.016999999999999998,0.06900000000000002,0.002,3.8091810924776234e-05,707.5118644830429
143,0.039,0.018,0.06800000000000002,0.001,3.9910793071204725e-05,324.18582756914685
144,0.038,0.023000000000000003,0.07700000000000003,0.001,6.339419815678845e-05,239.74013396681406
145,0.04785326007537065,0.009891146468035551,0.07297624664897288,0.001,1.4937297114264885e-05,521.1913175484781
146,0.04,0.02,0.05000000000000001,0.001,5.042256209011619e-05,335.9640272012672
147,0.04,0.025000000000000005,0.057000000000000016,0.001,7.871888712099948e-05,249.83159974698543
148,0.02871016647039884,0.010854729313549413,0.07762232538937494,0.001,1.08711733520486e-05,597.7712628720511
149,0.04,0.02,0.06300000000000001,0.001,5.046340279461285e-05,298.53841165942663
